"Participant_ID","Unique_Session_ID","Day_Num","Time_Offset","Session_Type","Dimension","Intensity"
3,"003EMA_Day1",1,360,"EMA","Pressure",56.5
3,"003EMA_Day1",1,600,"EMA","Pressure",39.1
3,"003EMA_Day1",1,840,"EMA","Pressure",31
3,"003EMA_Day2",2,360,"EMA","Pressure",19.6
3,"003EMA_Day2",2,600,"EMA","Pressure",35.2
3,"003EMA_Day2",2,840,"EMA","Pressure",9.2
3,"003EMA_Day3",3,360,"EMA","Pressure",61.9
3,"003EMA_Day3",3,600,"EMA","Pressure",52
3,"003EMA_Day3",3,840,"EMA","Pressure",60.8
3,"003EMA_Day4",4,360,"EMA","Pressure",26.9
3,"003EMA_Day4",4,600,"EMA","Pressure",20.7
3,"003EMA_Day4",4,840,"EMA","Pressure",47.6
3,"003EMA_Day5",5,360,"EMA","Pressure",27.1
3,"003EMA_Day5",5,600,"EMA","Pressure",32.2
3,"003EMA_Day5",5,840,"EMA","Pressure",34.3
3,"003EMA_Day6",6,360,"EMA","Pressure",67.6
3,"003EMA_Day6",6,600,"EMA","Pressure",46.7
3,"003EMA_Day6",6,840,"EMA","Pressure",20.2
3,"003EMA_Day7",7,360,"EMA","Pressure",32.8
3,"003EMA_Day7",7,600,"EMA","Pressure",49
3,"003EMA_Day7",7,840,"EMA","Pressure",36.7
3,"003EMA_Day8",8,360,"EMA","Pressure",40.1
3,"003EMA_Day8",8,600,"EMA","Pressure",29.2
3,"003EMA_Day8",8,840,"EMA","Pressure",29.6
3,"003EMA_Day9",9,360,"EMA","Pressure",32.2
3,"003EMA_Day9",9,600,"EMA","Pressure",49.7
3,"003EMA_Day9",9,840,"EMA","Pressure",15.3
3,"003EMA_Day10",10,360,"EMA","Pressure",32.3
3,"003EMA_Day10",10,600,"EMA","Pressure",28.6
3,"003EMA_Day10",10,840,"EMA","Pressure",19.2
3,"003EMA_Day11",11,360,"EMA","Pressure",45.7
3,"003EMA_Day11",11,600,"EMA","Pressure",38.2
3,"003EMA_Day11",11,840,"EMA","Pressure",13.9
3,"003EMA_Day12",12,360,"EMA","Pressure",19
3,"003EMA_Day12",12,600,"EMA","Pressure",37.4
3,"003EMA_Day12",12,840,"EMA","Pressure",41.9
3,"003EMA_Day13",13,360,"EMA","Pressure",21.7
3,"003EMA_Day13",13,600,"EMA","Pressure",70.2
3,"003EMA_Day13",13,840,"EMA","Pressure",70.5
3,"003EMA_Day14",14,360,"EMA","Pressure",34.7
3,"003EMA_Day14",14,600,"EMA","Pressure",32.1
3,"003EMA_Day14",14,840,"EMA","Pressure",39.5
3,"003EMA_Day15",15,360,"EMA","Pressure",51
3,"003EMA_Day15",15,600,"EMA","Pressure",56.3
3,"003EMA_Day15",15,840,"EMA","Pressure",66.4
3,"003EMA_Day16",16,360,"EMA","Pressure",44.4
3,"003EMA_Day16",16,600,"EMA","Pressure",56.3
3,"003EMA_Day16",16,840,"EMA","Pressure",45
3,"003EMA_Day17",17,360,"EMA","Pressure",62.3
3,"003EMA_Day17",17,600,"EMA","Pressure",55.8
3,"003EMA_Day17",17,840,"EMA","Pressure",45.4
3,"003EMA_Day18",18,360,"EMA","Pressure",44.1
3,"003EMA_Day18",18,600,"EMA","Pressure",66.2
3,"003EMA_Day18",18,840,"EMA","Pressure",73.7
3,"003EMA_Day19",19,360,"EMA","Pressure",54.8
3,"003EMA_Day19",19,600,"EMA","Pressure",69.3
3,"003EMA_Day19",19,840,"EMA","Pressure",56.4
3,"003EMA_Day20",20,360,"EMA","Pressure",51.9
3,"003EMA_Day20",20,600,"EMA","Pressure",61.7
3,"003EMA_Day20",20,840,"EMA","Pressure",70.9
3,"003EMA_Day1",1,360,"EMA","Worry/Rumination",60.9
3,"003EMA_Day1",1,600,"EMA","Worry/Rumination",35.4
3,"003EMA_Day1",1,840,"EMA","Worry/Rumination",29.5
3,"003EMA_Day2",2,360,"EMA","Worry/Rumination",18.6
3,"003EMA_Day2",2,600,"EMA","Worry/Rumination",34
3,"003EMA_Day2",2,840,"EMA","Worry/Rumination",8.6
3,"003EMA_Day3",3,360,"EMA","Worry/Rumination",68.7
3,"003EMA_Day3",3,600,"EMA","Worry/Rumination",40.5
3,"003EMA_Day3",3,840,"EMA","Worry/Rumination",61.5
3,"003EMA_Day4",4,360,"EMA","Worry/Rumination",38.3
3,"003EMA_Day4",4,600,"EMA","Worry/Rumination",49.4
3,"003EMA_Day4",4,840,"EMA","Worry/Rumination",42.5
