Unique_Session_ID,Group_ID,Participant_ID,Day_Num,Block,Session_Type,Time_Offset,Dimension,Intensity
001_Day12_EOD,1_EndOfDay_Block_3,1,12,3,EndOfDay,12.5,Anxiety,0.29
003_Day12_EOD,3_EndOfDay_Block_3,3,12,3,EndOfDay,12.5,Anxiety,5.886666666666667
002_Day13_EOD,2_EndOfDay_Block_3,2,13,3,EndOfDay,12.5,Anxiety,13.069999999999999
003_Day13_EOD,3_EndOfDay_Block_3,3,13,3,EndOfDay,12.5,Anxiety,2.361666666666667
003_Day14_EOD,3_EndOfDay_Block_3,3,14,3,EndOfDay,12.5,Anxiety,11.135
001_Day12_EOD,1_EndOfDay_Block_3,1,12,3,EndOfDay,42.5,Anxiety,0.29
003_Day12_EOD,3_EndOfDay_Block_3,3,12,3,EndOfDay,42.5,Anxiety,7.618333333333332
002_Day13_EOD,2_EndOfDay_Block_3,2,13,3,EndOfDay,42.5,Anxiety,13.07
003_Day13_EOD,3_EndOfDay_Block_3,3,13,3,EndOfDay,42.5,Anxiety,6.371666666666667
003_Day14_EOD,3_EndOfDay_Block_3,3,14,3,EndOfDay,42.5,Anxiety,9.053333333333333
003_Day5_EOD,3_EndOfDay_Block_1,3,5,1,EndOfDay,72.5,Anxiety,2.2483333333333335
003_Day9_EOD,3_EndOfDay_Block_2,3,9,2,EndOfDay,72.5,Anxiety,0.31
001_Day12_EOD,1_EndOfDay_Block_3,1,12,3,EndOfDay,72.5,Anxiety,0.29
003_Day12_EOD,3_EndOfDay_Block_3,3,12,3,EndOfDay,72.5,Anxiety,12.166666666666666
002_Day13_EOD,2_EndOfDay_Block_3,2,13,3,EndOfDay,72.5,Anxiety,13.07
003_Day13_EOD,3_EndOfDay_Block_3,3,13,3,EndOfDay,72.5,Anxiety,8.571666666666667
003_Day14_EOD,3_EndOfDay_Block_3,3,14,3,EndOfDay,72.5,Anxiety,8.963333333333333
003_Day5_EOD,3_EndOfDay_Block_1,3,5,1,EndOfDay,102.5,Anxiety,10.43
003_Day6_EOD,3_EndOfDay_Block_2,3,6,2,EndOfDay,102.5,Anxiety,5.113333333333334
002_Day7_EOD,2_EndOfDay_Block_2,2,7,2,EndOfDay,102.5,Anxiety,25.2
003_Day8_EOD,3_EndOfDay_Block_2,3,8,2,EndOfDay,102.5,Anxiety,0.63
003_Day9_EOD,3_EndOfDay_Block_2,3,9,2,EndOfDay,102.5,Anxiety,4.233333333333333
001_Day12_EOD,1_EndOfDay_Block_3,1,12,3,EndOfDay,102.5,Anxiety,0.29
003_Day12_EOD,3_EndOfDay_Block_3,3,12,3,EndOfDay,102.5,Anxiety,14.528333333333334
002_Day13_EOD,2_EndOfDay_Block_3,2,13,3,EndOfDay,102.5,Anxiety,13.018333333333333
003_Day13_EOD,3_EndOfDay_Block_3,3,13,3,EndOfDay,102.5,Anxiety,13.826666666666668
003_Day14_EOD,3_EndOfDay_Block_3,3,14,3,EndOfDay,102.5,Anxiety,14.040000000000001
002_Day16_EOD,2_EndOfDay_Block_4,2,16,4,EndOfDay,102.5,Anxiety,12.95
001_Day19_EOD,1_EndOfDay_Block_4,1,19,4,EndOfDay,102.5,Anxiety,1.28
003_Day20_EOD,3_EndOfDay_Block_4,3,20,4,EndOfDay,102.5,Anxiety,0.53
003_Day2_EOD,3_EndOfDay_Block_1,3,2,1,EndOfDay,132.5,Anxiety,0.96
003_Day3_EOD,3_EndOfDay_Block_1,3,3,1,EndOfDay,132.5,Anxiety,32.03333333333333
003_Day4_EOD,3_EndOfDay_Block_1,3,4,1,EndOfDay,132.5,Anxiety,7.6883333333333335
003_Day5_EOD,3_EndOfDay_Block_1,3,5,1,EndOfDay,132.5,Anxiety,11.344999999999999
003_Day6_EOD,3_EndOfDay_Block_2,3,6,2,EndOfDay,132.5,Anxiety,29.688333333333333
002_Day7_EOD,2_EndOfDay_Block_2,2,7,2,EndOfDay,132.5,Anxiety,25.373333333333335
003_Day8_EOD,3_EndOfDay_Block_2,3,8,2,EndOfDay,132.5,Anxiety,4.861666666666667
003_Day9_EOD,3_EndOfDay_Block_2,3,9,2,EndOfDay,132.5,Anxiety,8.293333333333333
002_Day10_EOD,2_EndOfDay_Block_2,2,10,2,EndOfDay,132.5,Anxiety,12.343333333333334
003_Day11_EOD,3_EndOfDay_Block_3,3,11,3,EndOfDay,132.5,Anxiety,1.8883333333333334
